lntanalfabetas,lnsalario,lnGini,lnpuntaje_matematicas,lncobersecundar,lnparticipacion,lntasadesempleo,lnPobreza,lnhurtos,CódigoMunicipio,lnvalpercapita,lnTMI,lnpen1000,lnvel,lnindice_demanda,lnindice_oferta,goblinea,penpvd,penkvd,cod_dane,ciudad,year,poblacion,poblacion_total
2.0122309,13.791696,-.64245409,,,,2.3035884,2.6878474,-1.1127309,001,,,5.2878175,8.3459167,1.3671041,1.5706301,75.46163398869649,.0012444183,0,5001,medellin,2015,2441123,3573376
,,,,,,,,-1.799931,045,,,4.1236324,7.6623278,1.0855263,1.2851982,43.1441943751238,.013371397,.29869851,5045,apartado,2015,173008,
,,,,,,,,-1.7854843,088,,,5.1542864,8.2112932,1.3410716,1.498026,70.79057628879835,.0090960152,0,5088,bello,2015,447185,
,,,,,,,,-2.4447331,154,,,3.9841371,7.7073274,1.081073,1.1353136,3.611655773420481,.011150509,.25215593,5154,caucasia,2015,109511,
,,,,,,,,-1.1372764,266,,,5.5391417,8.4402981,1.4482815,1.5179753,77.88978156523217,.0047723586,0,5266,envigado,2015,217343,
,,,,,,,,-1.4862039,360,,,5.2716985,8.2819796,1.2987176,1.5273184,74.68549547116828,.0123927,0,5360,itagui,2015,264775,
,,,,,,,,-2.2797139,615,,,5.2989597,8.2508192,1.2258743,1.44121,79.62106823911384,.038757686,.073421441,5615,rionegro,2015,118264,
,,,,,,,,-3.1882427,837,,,3.7723126,7.4758835,1.0538228,1.0568726,,.016191972,.053525168,5837,turbo,2015,155173,
1.9831557,13.512648,-.809681,,,,1.8322158,3.2386785,-.75289047,001,,,5.0241389,8.1928349,1.3368362,1.5245129,61.19507868062041,.0074458378,0,8001,barranquilla,2015,1212943,1817322
,,,,,,,,-1.8583623,433,,,4.3171024,7.5961733,1.0992157,1.2084272,33.83126761784512,.0088966386,.14526439,8433,malambo,2015,119286,
,,,,,,,,-2.2931118,638,,,2.8047616,7.2729897,1.0919212,1.1404594,,0,.11187559,8638,sabanalarga,2015,97076,
,,,,,,,,-2.0020678,758,,,4.5340323,7.6550841,1.1976585,1.2784054,,.005013302,0,8758,soledad,2015,599012,
1.8164239,13.937819,-.68915516,,,,2.1211104,2.3125355,-.62647742,001,,,5.261601,8.3217516,1.3924212,1.571871,81.17380277353367,.0032214622,0,11001,bogota,2015,7776845,7807163
1.9947798,13.60495,-.72773862,,,,1.9710087,3.2809112,-1.825215,001,,,4.8707743,8.109457,1.3744388,1.5150282,67.11046774099539,.0073872469,.21126761,13001,cartagena,2015,990179,953067
,,,,,,,,-1.6644602,430,,,2.0538952,7.5045915,1.0966072,1.131698,,0,.39210561,13430,magangue,2015,123618,
1.8497275,13.800221,-.74654794,,,,2.3982728,2.9549103,-.43881765,001,,,4.818398,8.0531702,1.3551729,1.3956723,83.65334599567102,.022586619,.7723996,15001,tunja,2015,184864,178733
,,,,,,,,-.80664521,238,,,4.6424813,8.0140266,1.3313818,1.3915437,75.04420382734912,.029444674,0,15238,duitama,2015,112243,
,,,,,,,,-.73954916,759,,,4.8207784,7.8773999,1.2518699,1.3300234,58.8695290778938,.040584829,.26317522,15759,sogamoso,2015,113758,
1.9101007,13.718283,-.759287,,,,2.1757505,2.7536607,-.65541899,001,,,5.1965985,8.3098822,1.42427,1.4854434,71.18657761862319,.013615185,0,17001,manizales,2015,394627,413769
2.249655,13.703395,-.71334988,,,,2.6592731,3.5292974,-.22735114,001,,,4.4079752,8.0335684,1.1664565,1.2819195,76.8939274321648,.013524571,.37283871,18001,florencia,2015,169336,149223
1.8372173,14.002446,-.71131116,,,,2.4790254,3.48124,-.70018309,001,,,5.1188087,8.0216112,1.4947377,1.4070563,80.45281573112074,.028563268,.23287535,19001,popayan,2015,275129,246200
,,,,,,,,-.88019145,698,,,4.1719775,7.9383836,1.3541113,1.3234814,4.212962962962965,.058095627,.32118592,19698,santanderdequilichao,2015,92114,
2.2890825,13.589327,-.8580218,,,,2.2931199,3.2958369,-1.2506443,001,,,4.5375237,7.8967934,1.3339355,1.3959563,57.58025145686558,.013239071,.59505647,20001,valledupar,2015,443210,381831
,,,,,,,,-1.5562655,011,,,3.7878921,7.5791941,1.092667,1.2611312,27.97780743570155,.012510478,1.4114912,20011,aguachica,2015,91977,
,,,,,,,,-3.3455436,,,,-1.0429586,9.0178337,.79850775,.94446158,41.22481330673684,0,.39517882,20443,,2015,14188,
2.4511378,13.639592,-.78088611,,,,1.8209351,3.0397491,-1.1278907,001,,,4.3975396,7.9033103,1.2378184,1.439808,33.70489405115582,.014888263,.18160722,23001,monteria,2015,434950,338343
,,,,,,,,-1.2776897,162,,,3.853915,7.5831861,1.0414044,1.116004,40.34263984381631,0,.36203775,23162,cerete,2015,90785,
